headline,summary,date,source.name,source.url,collectedAt
Abliteration.ai is making a business out of removing AI guardrails,"Abliteration.AI is making powerful AI models without guardrails easier to access, arguing that giving defenders the same tools as bad actors could ultimately improve cybersecurity.",2026-09-03T18:37:57,TechCrunch AI,https://techcrunch.com/2026/09/03/abliteration-ai-is-making-a-business-out-of-removing-ai-guardrails/,2026-09-04T10:28:44.154449
Nvidia confirms it will buy Hugging Face for $12.9 billion,Nvidia said Hugging Face hosts over 3 million models and is used by over 18 million developers.,2026-09-03T12:42:45,TechCrunch AI,https://techcrunch.com/2026/09/03/nvidia-confirms-it-will-buy-hugging-face-for-12-9-billion/,2026-09-04T10:28:44.183707
Crusoe reportedly raises $3B at a $30B valuation,The round came together after the data center developer reportedly secured a $13 billion contract with Jane Street.,2026-09-04T00:48:42,TechCrunch AI,https://techcrunch.com/2026/09/03/crusoe-reportedly-raises-3b-at-a-30b-valuation/,2026-09-04T10:28:44.356947
Data from drones in Ukraine is fueling a new Wild West marketplace,"Battlefields in Ukraine are littered with the remnants of drones, which are now firmly established as a critical weapon of modern warfare. But behind all that wreckage, there’s a new gold mine for the defense sector. The data drones generate will far outlast the wars in which they are used to fight, increasingly becoming part…",2026-09-04T09:25:19,MIT Technology Review AI,https://www.technologyreview.com/2026/09/04/1143452/drone-data-wild-west/,2026-09-04T10:28:44.372013
Accel reportedly in talks to lead $1B round for Thinking Machines at $40B valuation,The high-profile startup's annual revenue run rate stands at over $100 million.,2026-09-03T19:36:29,TechCrunch AI,https://techcrunch.com/2026/09/03/accel-reportedly-in-talks-to-lead-1b-round-for-thinking-machines-at-40b-valuation/,2026-09-04T10:28:44.529528
AI Use in the Job Market Is Creating an Infinite Doom Loop,"Job seekers are trying to game the application process using AI. It’s not working, and not for the reasons you might think.",2026-09-04T10:00:00,Wired AI,https://www.wired.com/story/ai-job-market-infinite-doom-loop/,2026-09-04T10:28:44.586453
Meta is paying to peek at how you use their latest AI model,"For its new Muse Spark model, intended for operating coding and other agents, Meta is offering an explicit discount averaging out to about 95% for users who ""contribute"" to the development of future models by sharing their prompts and model outputs.",2026-09-03T18:19:56,TechCrunch AI,https://techcrunch.com/2026/09/03/meta-is-paying-to-peek-at-how-you-use-their-latest-ai-model/,2026-09-04T10:28:44.639136
Supreme Court urged to let states regulate sports bets on prediction markets,Circuit split raised the odds that SCOTUS will rule on Kalshi fight against states.,2026-09-03T19:42:02,Ars Technica,https://arstechnica.com/tech-policy/2026/09/nj-urges-scotus-to-rule-that-kalshi-sports-bets-are-gambling-not-swaps/,2026-09-04T10:28:44.675130
"OpenAI launches Astra, its powerful (and controversial) new model","OpenAI claims that Astra represents ""a new frontier on computer and browser use,"" and that it handles tasks with unmatched ""speed, accuracy, and safety.""",2026-09-03T18:01:45,TechCrunch AI,https://techcrunch.com/2026/09/03/openai-launches-astra-its-powerful-and-controversial-new-model/,2026-09-04T10:28:44.719807
OpenAI Cut Off a Billion-Dollar Customer to Avoid Elon Musk,"OpenAI recently estimated its Cursor partnership would make more than $1 billion in revenue a year, WIRED has learned. It still walked away after Elon Musk’s SpaceX acquired the AI coding startup.",2026-09-03T16:42:40,Wired AI,https://www.wired.com/story/openai-elon-musk-cursor-billion-revenue/,2026-09-04T10:28:44.796896
Ollie is betting its focus on privacy can help it win the AI assistant race,"The family-focused AI assistant wants access to the details of your everyday life, but says it won’t use that data to train AI models or share it with others.",2026-09-03T16:09:01,TechCrunch AI,https://techcrunch.com/2026/09/03/ollie-is-betting-privacy-can-win-the-ai-assistant-race/,2026-09-04T10:28:44.902664
OpenAI’s next big AI model has ‘entered the AGI era’,"OpenAI's next big model is here: GPT-6 Astra. The company calls it a ""generational leap in capability"" for areas like cybersecurity, professional work, software engineering, science, and computer use. As OpenAI announced earlier this week, it's also the first model designated as meeting OpenAI's ""critical cybersecurity capability threshold"" - but the company promises that won't […]",2026-09-03T18:00:00,The Verge AI,https://www.theverge.com/ai-artificial-intelligence/989601/openai-gpt-6-astra-release,2026-09-04T10:28:44.874070
GPT-6 Astra Is Here—and OpenAI Thinks It May Kick Off the AGI Era,"OpenAI leaders think the company’s next generation model, which excels at computer use and coding, may mark a major milestone in AI development.",2026-09-03T18:06:24,Wired AI,https://www.wired.com/story/openai-says-gpt-6-can-use-a-computer-better-than-a-human/,2026-09-04T10:28:44.839919
Prediction Market Betting Is Getting People Banned and Arrested,"This week on Uncanny Valley, we dig into the latest prediction market buzz, Flock’s AI-powered police search tool, and how tech bros don’t know how to talk about “rouge” AI agents",2026-09-03T21:48:24,Wired AI,https://www.wired.com/story/prediction-market-betting-is-getting-people-banned-and-arrested/,2026-09-04T10:28:44.761925
Google says its AI weather model is getting better,"Google is rolling out an updated AI weather model that's supposed to be more accurate, especially when it comes to predicting rain and snowfall. In the announcement today, the company says it's now able to make forecasts with ""unprecedented resolution"" using its new WeatherNext 3 AI model. It can produce a global picture that's five […]",2026-09-03T15:00:00,The Verge AI,https://www.theverge.com/tech/988921/weather-forecast-ai-model-google-satellite-update,2026-09-04T10:28:45.047033
"ChatGPT, Grok, and Claude all went down at the same time","OpenAI's ChatGPT, xAI's Grok, and Anthropic's Claude are back online after they all began experiencing issues around the same time on Thursday. At about 11AM ET, ChatGPT started returning error messages for users trying to use the chatbot, with its status page saying there were ""elevated errors across ChatGPT and Codex."" In addition to preventing […]",2026-09-03T15:35:14,The Verge AI,https://www.theverge.com/ai-artificial-intelligence/989503/chatgpt-grok-claude-outage-down,2026-09-04T10:28:45.083951
Nvidia’s Hugging Face Acquisition Is a $12.9 Billion Bet on Open-Source AI,The long-rumored deal will give the chip giant access to—and help it promote—a huge repository of open-source AI models and data sets.,2026-09-03T12:43:09,Wired AI,https://www.wired.com/story/nvidias-hugging-face-acquisition-is-a-dollar129-billion-bet-on-open-source-ai/,2026-09-04T10:28:45.191976
Nvidia RTX Spark ‘Superchip’: The First AI PCs Are Here,"At IFA 2026, Nvidia and its partners showed off the first RTX Spark-powered laptops and mini PCs, designed to run AI models right on your computer.",2026-09-03T13:00:00,Wired AI,https://www.wired.com/story/nvidia-rtx-spark-laptops-first-look/,2026-09-04T10:28:45.126391
Google’s latest AI weather model gives you no excuse to forget your umbrella,"WeatherNext 3 is the latest wave of a sea change in meteorology brought out by deep learning techniques. Google says it will start feeding into weather information users see in search, Google Maps, and Gemini.",2026-09-03T15:00:00,TechCrunch AI,https://techcrunch.com/2026/09/03/googles-latest-ai-weather-model-gives-you-no-excuse-to-forget-your-umbrella/,2026-09-04T10:28:45.152105
"Google now lets you chat with Gmail, Docs, and Keep","Google is rolling out AI-powered voice assistant modes for Gmail, Docs, and Keep that allow you to manage the apps by talking to them. The real time conversational capabilities are called Gmail Live, Docs Live, and Keep Live, and like the Gemini Live experience for Google's chatbot, aim to make it easier to note down […]",2026-09-03T16:00:00,The Verge AI,https://www.theverge.com/tech/989508/google-gmail-docs-keep-live-voice-modes-gemini,2026-09-04T10:28:45.313466
This NAS company wants to run your local smart home,"Ugreen, known for its phone power banks, chargers, and NAS storage solutions, is moving into the smart home - in a big way. This week at the IFA tech show, the company launched its HomeAgent smart home platform that combines security camera storage, on-device AI, and smart home control in one system, managed by a […]",2026-09-04T09:41:44,The Verge AI,https://www.theverge.com/tech/990006/this-nas-company-wants-to-run-your-local-smart-home,2026-09-04T10:28:45.346378
Nvidia launches free tool that links idle computers into a personal AI data center,"Nvidia is announcing its new Personal AI Router (PAIR), a free tool that syncs up your home computers for tackling local AI inference tasks with tools like Ollama and LM Studio. Let's get the obvious thing out of the way, despite what its name might imply: PAIR is not a hardware router. It's open-source software […]",2026-09-03T16:00:00,The Verge AI,https://www.theverge.com/ai-artificial-intelligence/989435/nvidia-pair-personal-ai-router-home-local-llm-compute-tool-rtx-macbook,2026-09-04T10:28:45.283033
Four major AI models suffer rare overlapping downtime,"Service interruptions hit ChatGPT, Claude, Grok, and Gemini practically simultaneously.",2026-09-03T18:10:19,Ars Technica,https://arstechnica.com/ai/2026/09/four-major-ai-models-suffer-rare-overlapping-downtime/,2026-09-04T10:28:45.394854
Nvidia is buying Hugging Face for almost $13 billion,"Nvidia has agreed to buy Hugging Face for $12.93 billion, bringing one of the most popular hosting platforms for open-source AI models, datasets, and tools under the ownership of the world's biggest AI chipmaker. Hugging Face is an online platform founded in 2016 that gives AI developers a space to share their projects and data […]",2026-09-03T12:12:06,The Verge AI,https://www.theverge.com/tech/985474/nvidia-buying-hugging-face-deal,2026-09-04T10:28:45.453240
The sameness problem behind those unappetizing AI-generated menus,"While restaurant owners might look to generative AI as a shortcut to sprucing up their menu, customers can viscerally sense that something is wrong with the food.",2026-09-04T04:21:03,TechCrunch AI,https://techcrunch.com/2026/09/03/the-sameness-problem-behind-those-unappetizing-ai-generated-menus/,2026-09-04T10:28:45.646889
Nobody Is Saying Why OpenAI and Anthropic Had Outages Today,"ChatGPT, Claude, and Grok all suffered outages at nearly the exact same time for reasons that remain murky.",2026-09-03T21:56:21,Wired AI,https://www.wired.com/story/nobody-is-saying-why-openai-and-anthropic-had-outages-today/,2026-09-04T10:28:46.200614
"Nvidia buys Hugging Face, the GitHub of AI, for $13 billion",Nvidia says Hugging Face will stay open even as the chipmaker takes control of a key AI hub.,2026-09-03T13:34:13,Ars Technica,https://arstechnica.com/ai/2026/09/nvidia-buys-hugging-face-the-github-of-ai-for-13-billion/,2026-09-04T10:28:47.112706
